계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,202601
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F02400,공통_경영기획팀,178001.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F02500,공통_자금팀,143000.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F02600,공통_정보보안팀,11463936.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F02700,공통_Process담당,39333.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F02900,공통_AX팀,606200.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F03000,공통_AI 엔지니어링팀,389700.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F03200,공통_PI팀,476835.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F03300,공통_무역팀,117268.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F03400,공통_자산관리팀,156750.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F03600,공통_사업운영지원담당,61500.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F03700,공통_통합인테리어팀,131500.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F03900,공통_퍼포먼스마케팅팀,206167.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F04000,공통_글로벌슈즈팀,59500.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F04400,공통_통합영업팀,1052181.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F04500,공통_통합소싱팀,702819.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F04800,공통_해외사업팀,589305.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F05100,공통_마케팅본부,320250.0
감가상각비,감가상각비,55250115,감가상각비_공기구비품,F05200,공통_통합온라인채널팀,61833.0
감가상각비,무형자산상각,55270101,감가상각비_상표권,F00400,공통_법무팀,1239860.0
감가상각비,무형자산상각,55270115,감가상각비_기타의무형자산,F00400,공통_법무팀,9702.0
기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,0.0
기타비용,도서인쇄비,55150101,도서인쇄비,F00000,공통_공통,72000.0
기타비용,도서인쇄비,55150101,도서인쇄비,F00300,공통_총무,3877170.0
기타비용,도서인쇄비,55150101,도서인쇄비,F00700,공통_회계팀,79000.0
기타비용,도서인쇄비,55150101,도서인쇄비,F01800,공통_소비자전략팀,747305.0
기타비용,보험료,55330103,보험료_배상책임보험료,F00000,공통_공통,3504478.0
기타비용,보험료,55330103,보험료_배상책임보험료,F00300,공통_총무,1271.0
기타비용,보험료,55330103,보험료_배상책임보험료,F02600,공통_정보보안팀,345573.0
기타비용,보험료,55330105,보험료_보증보험료,F01200,공통_e-BIZ팀,288535.0
기타비용,보험료,55330109,보험료_재산종합보험료,F00000,공통_공통,35345722.0
