부서명,202410,202510
AX팀,29,0
HR팀,11,12
IT팀,51,49
e-BIZ팀,34,32
경영개선팀,3,3
경영관리팀,11,11
경영기획,4,0
경영기획팀,0,5
공간기획팀,5,6
글로벌슈즈팀,10,0
무역팀,9,8
법무팀,7,7
비서팀,4,0
소비자전략팀,1,3
안전보건팀,2,2
운영전략팀,3,0
임원,5,5
자금팀,7,7
자산관리팀,2,2
정보보안팀,4,4
총무,4,7
콘텐츠담당,1,0
통합마케팅팀,10,5
통합소싱팀,0,8
통합영업팀,0,4
통합인테리어팀,6,4
통합인플루언서마케팅팀,0,5
퍼포먼스마케팅팀,9,11
프로세스팀,0,28
해외사업팀,0,10
회계팀,9,9
총계,241,247
